,region,year,policy,agg.land,hist_value,Protection,value
254,South Asia,2050,CORE,Forests (Unmanaged),1260.774695,10,0.647905998
255,South Asia,2050,CORE,Grassland,4393.253064,10,0.444731505
256,South Asia,2050,CORE,Grazed Pasture,883.4319077,10,-0.637384848
257,South Asia,2050,CORE,Shrubland,1791.783447,10,0.173390942
258,South Asia,2050,CORE,urban,3.1217501,10,0
259,South Korea,2050,CORE,Biomass,0.651472477,10,-5.473542001
260,South Korea,2050,CORE,Crops,197.2450446,10,0.067193301
261,South Korea,2050,CORE,Forests (Harvested),58.61572,10,0.13784826
262,South Korea,2050,CORE,Forests (Unmanaged),311.8569761,10,0.006407002
263,South Korea,2050,CORE,Grassland,115.4659624,10,-0.00806903
264,South Korea,2050,CORE,Grazed Pasture,6.49263,10,0.253827862
265,South Korea,2050,CORE,Shrubland,486.8976122,10,-0.010831158
266,South Korea,2050,CORE,urban,2.7479,10,0
267,Southeast Asia,2050,CORE,Biomass,91.67215662,10,-2.000556778
268,Southeast Asia,2050,CORE,Crops,9142.444553,10,-0.108826672
269,Southeast Asia,2050,CORE,desert,2.2749198,10,0
270,Southeast Asia,2050,CORE,Forests (Harvested),1483.620706,10,-0.058283435
271,Southeast Asia,2050,CORE,Forests (Unmanaged),21095.55106,10,0.091464842
272,Southeast Asia,2050,CORE,Grassland,5199.72297,10,0.099902437
273,Southeast Asia,2050,CORE,Grazed Pasture,513.3643974,10,-0.719284217
274,Southeast Asia,2050,CORE,Shrubland,174.964261,10,0.075074047
275,Southeast Asia,2050,CORE,urban,22.71653688,10,0
276,Taiwan,2050,CORE,Biomass,0.123298934,10,-0.47170622
277,Taiwan,2050,CORE,Crops,57.58224798,10,0.054305271
278,Taiwan,2050,CORE,Forests (Harvested),10.08519219,10,0.123486218
279,Taiwan,2050,CORE,Forests (Unmanaged),213.4164368,10,-0.012853694
280,Taiwan,2050,CORE,Grassland,108.3758071,10,-0.031823943
281,Taiwan,2050,CORE,Grazed Pasture,7.090474927,10,0.309570982
282,Taiwan,2050,CORE,Shrubland,0.844816016,10,-0.014922674
283,Taiwan,2050,CORE,urban,2.17348,10,0
284,USA,2050,CORE,Biomass,345.1852079,10,-2.384493793
285,USA,2050,CORE,Crops,18542.49093,10,-0.213370321
286,USA,2050,CORE,desert,526.72716,10,0
287,USA,2050,CORE,Forests (Harvested),4757.465461,10,-0.042189113
288,USA,2050,CORE,Forests (Unmanaged),22163.73186,10,0.146665974
289,USA,2050,CORE,Grassland,43396.03158,10,0.127410327
290,USA,2050,CORE,Grazed Pasture,576.0080174,10,0.080686212
291,USA,2050,CORE,Shrubland,11789.26186,10,-0.022845679
292,USA,2050,CORE,urban,134.45224,10,0
293,Africa_Eastern,2050,CORE,Biomass,342.1885043,100,-43.13483858
294,Africa_Eastern,2050,CORE,Crops,8617.473012,100,-14.80017321
295,Africa_Eastern,2050,CORE,desert,914.44174,100,0
296,Africa_Eastern,2050,CORE,Forests (Harvested),1912.020431,100,-14.33493995
297,Africa_Eastern,2050,CORE,Forests (Unmanaged),14.11578309,100,8.728512797
298,Africa_Eastern,2050,CORE,Grassland,37721.41595,100,8.497090566
299,Africa_Eastern,2050,CORE,Grazed Pasture,3466.156167,100,-31.38668616
300,Africa_Eastern,2050,CORE,Shrubland,6692.83803,100,6.171386924
301,Africa_Eastern,2050,CORE,urban,8.2136,100,0
302,Africa_Northern,2050,CORE,Biomass,12.00258334,100,-3.533283133
303,Africa_Northern,2050,CORE,Crops,3544.654878,100,-6.967657494
304,Africa_Northern,2050,CORE,desert,4577.42712,100,0
305,Africa_Northern,2050,CORE,Forests (Harvested),401.6333615,100,-3.626660038
306,Africa_Northern,2050,CORE,Forests (Unmanaged),0,100,NA
307,Africa_Northern,2050,CORE,Grassland,9034.939096,100,3.423141344
308,Africa_Northern,2050,CORE,Grazed Pasture,401.50772,100,-10.86581032
309,Africa_Northern,2050,CORE,Shrubland,677.9884517,100,1.972097316
310,Africa_Northern,2050,CORE,urban,10.89136,100,0
311,Africa_Southern,2050,CORE,Biomass,283.8798555,100,-47.44353016
312,Africa_Southern,2050,CORE,Crops,5862.671055,100,-19.49203112
313,Africa_Southern,2050,CORE,desert,153.7390858,100,0
314,Africa_Southern,2050,CORE,Forests (Harvested),845.0923362,100,-15.29284554
315,Africa_Southern,2050,CORE,Forests (Unmanaged),6086.064943,100,4.796721233
316,Africa_Southern,2050,CORE,Grassland,47218.86553,100,4.380173235
317,Africa_Southern,2050,CORE,Grazed Pasture,892.5757131,100,-41.89694494
318,Africa_Southern,2050,CORE,Shrubland,3967.030283,100,2.117138455
319,Africa_Southern,2050,CORE,urban,9.1793989,100,0
320,Africa_Western,2050,CORE,Biomass,1008.222696,100,-53.35215656
321,Africa_Western,2050,CORE,Crops,16705.58547,100,-14.27012252
322,Africa_Western,2050,CORE,desert,2678.29155,100,0
323,Africa_Western,2050,CORE,Forests (Harvested),2521.794228,100,-25.92161382
324,Africa_Western,2050,CORE,Forests (Unmanaged),24169.62155,100,7.032729882
325,Africa_Western,2050,CORE,Grassland,54105.89803,100,7.42895563
326,Africa_Western,2050,CORE,Grazed Pasture,1733.874486,100,-43.95307311
327,Africa_Western,2050,CORE,Shrubland,3240.907714,100,6.23362261
328,Africa_Western,2050,CORE,urban,24.14843,100,0
329,Argentina,2050,CORE,Biomass,67.84482609,100,-12.48279358
330,Argentina,2050,CORE,Crops,5752.918329,100,-7.507714174
331,Argentina,2050,CORE,desert,159.6334102,100,0
332,Argentina,2050,CORE,Forests (Harvested),121.676307,100,-7.686424802
333,Argentina,2050,CORE,Forests (Unmanaged),1648.681499,100,3.150656599
334,Argentina,2050,CORE,Grassland,20236.76122,100,3.296366049
335,Argentina,2050,CORE,Grazed Pasture,1272.38919,100,-18.26019089
336,Argentina,2050,CORE,Shrubland,2066.590832,100,2.471525787
337,Argentina,2050,CORE,urban,5.58801199,100,0
338,Australia_NZ,2050,CORE,Biomass,125.3161234,100,-16.47470136
339,Australia_NZ,2050,CORE,Crops,6293.392762,100,-15.60944889
